Mall Name,Mall Lat,Mall Long
100 AM,1.27458821795426,103.84347073661
600 @ TOA PAYOH,1.33403623894465,103.850977706475
ANCHORPOINT SHOPPING CENTRE,1.28861469030586,103.805009964592
BEAUTY WORLD CENTRE,1.34241264188642,103.776539385406
BEAUTY WORLD PLAZA,1.34180018619223,103.776259359854
CATHAY CINEPLEX CAUSEWAY POINT,1.43600784474269,103.78568873405
CENTURY SQUARE,1.35236829566862,103.943812302253
CIMB PLAZA,1.28421477965482,103.852008834004
CITY SQUARE MALL,1.31142103107683,103.856624019991
CITY HALL MRT STATION EXIT A,1.2932330759348,103.853021562271
CITYLINK MALL,1.2927777312893,103.854173501417
EASTPOINT MALL,1.34270592355576,103.953024618234
ERA APAC CENTRE,1.33167653374942,103.849383945185
FAIRPRICE HUB,1.32561767765205,103.678409741897
FORUM THE SHOPPING MALL,1.30609752164563,103.828678556041
FU LU SHOU COMPLEX,1.30151258571919,103.854497235401
HOLLAND ROAD SHOPPING CENTRE,1.31027747574118,103.795371163103
HOLLAND PIAZZA,1.31067976097165,103.795260908624
HOUGANG 1,1.37571530699875,103.879472337592
HOUGANG MALL,1.37249493810003,103.893775562605
IMM BUILDING,1.33487526118006,103.746894773008
JEM,1.33305999269581,103.743503708169
KINEX,1.31461849889242,103.894738004768
FILMGARDE AT LEISURE PARK KALLANG,1.30240462507128,103.876638148971
SHAW THEATRES LOT ONE,1.38506992325619,103.745238868238
MARINA BAY LINK MALL,1.28023825446086,103.853369662547
MUSTAFA CENTRE,1.31011213190394,103.855290873926
MYVILLAGE AT SERANGOON GARDEN,1.36511490572797,103.865159501442
NEX,1.35076935257845,103.872296143862
ORCHARD CENTRAL,1.30083890839245,103.839434733899
PLAZA SINGAPURA,1.30074770963916,103.845047573431
QUEENSWAY SHOPPING CENTRE,1.28759518939869,103.803397287789
THE RAIL MALL,1.35789149424937,103.768022465669
RIVERVALE MALL,1.39219777838449,103.904471600025
ROCHESTER MALL,1.30540765569962,103.788446680148
THE SELETAR MALL,1.39147015374628,103.876125507257
SEMBAWANG SHOPPING CENTRE,1.44182470675733,103.824845207237
SIM LIM SQUARE,1.3030242605718,103.853037814067
SIM LIM TOWER,1.30377222122298,103.85466144692
THE CENTREPOINT,1.30197836876806,103.839759023144
THE MAJESTIC,1.28471077015851,103.843197416212
THE STAR VISTA,1.30697044038323,103.788420274115
PCF TAMPINES EAST 3-IN-1 FAMILY CENTRE (STUDENT CARE),1.3522279450458,103.952437443086
TAMPINES MALL,1.35252737278519,103.944698751072
ZHUJIAO CENTRE (TEKKA MARKET),1.30618663846772,103.850585570067
THOMSON PLAZA,1.35432524181867,103.830328102656
UPPER SERANGOON SHOPPING CENTRE,1.35348082277147,103.878828134896
VIVOCITY,1.26429316783973,103.82230469365
CATHAY CINEPLEX WEST MALL,1.35009714832628,103.74921385957
LEARNING LEAP PTE LTD (WHITE SANDS PRIMARY SCHOOL),1.36563610941695,103.960861814678
WISMA GEYLANG SERAI,1.31649415743907,103.896788418353
HEART OF YEW TEE,1.3971942776408,103.745922751197
313 @ SOMERSET,1.30101436404056,103.838360664485
AMK HUB,1.36938922717717,103.848477965668
ALEXANDRA RETAIL CENTRE (ARC),1.27414893629254,103.801399416665
BEDOK MALL,1.32473632784728,103.929256259998
BUGIS JUNCTION,1.29911287475873,103.855411173758
BUGIS MRT STATION,1.3004650853709,103.855706731205
BUKIT PANJANG PLAZA,1.37992045176243,103.764357180314
EDEN RESIDENCES CAPITOL,1.29298775382221,103.851046829843
CHANGI CITY POINT,1.33403637902708,103.962917615531
CHINATOWN POINT,1.28499882847401,103.844697081142
CLARKE QUAY,1.29044567334673,103.845688049938
CLAYMORE CONNECT,1.30766860940267,103.828164396352
THE CLEMENTI MALL,1.31489619639366,103.764423054189
COMPASS ONE,1.39205314156706,103.89507054384
DJITSUN MALL BEDOK,1.32611970329469,103.929554495615
ESPLANADE MALL,1.28964784521264,103.856267250977
FAR EAST PLAZA,1.30717698071189,103.833792932243
FUNAN,1.29134759697794,103.849989790085
BUKIT TIMAH SEVEN MILE FLYOVER,1.33734169380818,103.7781810882
GREAT WORLD CITY,1.29342272650003,103.832022146655
HARBOURFRONT CENTRE,1.26396991176004,103.820243325181
HILLION MALL,1.37843100827586,103.762842789877
BELLEZZA @ KATONG,1.3069059800853,103.902076705616
ION ORCHARD,1.30397974144505,103.832032328465
INTERNATIONAL PLAZA,1.27588674266836,103.845923793168
JEWEL CHANGI AIRPORT,1.3603410066102,103.98907755021
JUNCTION 8,1.3504812534505,103.848760473211
JUNCTION 10,1.38033681049385,103.760167883439
JUNCTION NINE,1.4331228398318,103.84166098599
GOLDEN VILLAGE (GV JURONG POINT),1.3394520043632,103.706685012926
KALLANG WAVE MALL,1.30307515150401,103.873149707591
KATONG SHOPPING CENTRE,1.3040973115095,103.901515916971
LUCKY PLAZA,1.30450604646634,103.833962339817
MANDARIN GALLERY,1.30200471731963,103.836583965806
THE SHOPPES AT MARINA BAY SANDS,1.28423496027027,103.858982282698
MARINA SQUARE,1.29185533273026,103.85857808906
MILLENIA WALK,1.29260544462492,103.859724944443
NGEE ANN CITY,1.30224168528687,103.835181912297
NORTHPOINT CITY,1.42969848626288,103.835776491468
NOVENA SQUARE,1.31931136768991,103.84414790483
ONE RAFFLES PLACE,1.28434954622306,103.851072545834
ORCHARD GATEWAY,1.30044325279546,103.839442780042
ORCHARD TOWERS,1.30758079522771,103.829476735628
PLQ MALL,1.31756115921,103.892836694432
PALAIS RENAISSANCE,1.30665484543191,103.829588045188
CATHAY CINEPLEX PARKWAY PARADE,1.30091736056425,103.90533928065
PAYA LEBAR SQUARE,1.31881487007651,103.892580778514
PENINSULA PLAZA,1.29231742228801,103.850803179769
PEOPLE'S PARK CENTRE,1.28577009981805,103.843980122838
PEOPLE'S PARK COMPLEX,1.28413397178419,103.842519972666
RAFFLES CITY SHOPPING CENTRE,1.29389357863312,103.853119904656
SENGKANG GRAND MALL,1.38298163203344,103.892721007746
FORMER PARLIAMENT HOUSE AND ANNEX BUILDING,1.28868822638874,103.851117733194
SINGAPORE POST CENTRE,1.31899666903663,103.894894915962
JW MARRIOTT SINGAPORE SOUTH BEACH,1.29468701742485,103.855528738059
SUN PLAZA,1.44819535371132,103.819502127155
SUNTEC CITY MALL,1.29593189477195,103.859014406736
SINGAPORE MARRIOTT TANG PLAZA HOTEL,1.30502562565776,103.832957478209
TEKKA PLACE,1.30462871949255,103.852226984633
THE PARAGON,1.30387230879994,103.835857545469
THE WOODLEIGH MALL,1.33873066388191,103.871670008192
TIONG BAHRU PLAZA,1.28645889472825,103.827015256194
UNITED SQUARE,1.31719450988559,103.843611443038
VALLEY POINT,1.29303600932874,103.827069067058
SHAW THEATRES WATERWAY POINT,1.40653611690554,103.90198817171
MINDCHAMPS PRESCHOOL @ WEST COAST PLAZA PTE. LIMITED,1.30362457527941,103.765858386923
WESTGATE,1.33415767556867,103.742766484424
WHEELOCK PLACE,1.30467628730252,103.830642027577
WISMA ATRIA,1.30370477426147,103.833205752808
WISTERIA MALL,1.41795288501536,103.841268831617
888 PLAZA,1.43712301500434,103.795314383823
ADMIRALTY PLACE,1.43963261801972,103.802121646793
BUANGKOK SQUARE,1.38433426615655,103.881623070164
CANBERRA PLAZA,1.44349544527985,103.830345369213
DAWSON PLACE,1.29270339855062,103.810958956467
DEPOT HEIGHTS SHOPPING CENTRE,1.28084469467756,103.810292618353
AMAR KIDZ @ ELIAS MALL PTE. LTD.,1.37790533095468,103.94233582068
FAJAR SHOPPING CENTRE,1.38358032362676,103.770768501474
GEK POH SHOPPING CENTRE,1.34874357136408,103.697732091001
GREENRIDGE SHOPPING CENTRE,1.38540569283271,103.766228468185
HEARTLAND MALL-KOVAN,1.35954177325561,103.885167372726
HDB HUB,1.33256779261697,103.848418718015
HOUGANG RIVERCOURT,1.36274851459883,103.894906998774
LIMBANG SHOPPING CENTRE,1.39222033136152,103.743611063324
LOYANG POINT,1.36645364010349,103.964598499523
NORTHSHORE PLAZA I,1.41676127156324,103.902074379502
OASIS TERRACES,1.40278015725693,103.913215101343
HAWKER CENTRE @ OUR TAMPINES HUB,1.35354740485205,103.940381104547
PASIR RIS WEST PLAZA,1.37976754317116,103.936207567321
PIONEER MALL,1.34169239214292,103.697174842118
PUNGGOL PLAZA,1.39423719717117,103.913047323223
RIVERVALE PLAZA,1.38533736107771,103.901841044122
SUNSHINE PLACE,1.37789727599928,103.739015486021
TAMAN JURONG SHOPPING CENTRE,1.33484487416514,103.720462024278
VISTA POINT,1.43089714603015,103.793927429476
WOODLANDS NORTH PLAZA,1.44275334327795,103.790548015512
YEW TEE SQUARE,1.39832134529461,103.747344865384
321 CLEMENTI,1.31200212030821,103.764986676365
CATHAY CINELEISURE ORCHARD,1.30152101873533,103.836429655016
GOLDEN VILLAGE (GV YISHUN),1.42991554202388,103.836473396124
THE CATHAY,1.29920609145429,103.847826817241
